name,release_date,total_tracks,artists,id,name,duration_ms,explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
American Teen,2017-04-27,15,,6LuN9FCkKOj5PcnpouEgny,Khalid,202547,false,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,85,0.799,0.539,1,-6.351,1,0.0421,0.199,0.0000166,0.165,0.394,136.948,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,4
Unwritten,2004-09-06,13,,7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,259333,false,1D1nixOVWOxvNfWi0UD7VX,Unwritten,5,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,audio_features,spotify:track:1D1nixOVWOxvNfWi0UD7VX,https://api.spotify.com/v1/tracks/1D1nixOVWOxvNfWi0UD7VX,https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX,4
The Essential R. Kelly,2014-05-19,35,,2mxe0TnaNL039ysAj51xPQ,R. Kelly,186040,false,3zSCNTXI7Ed0PiidZVmzIe,Ignition - Remix,67,0.778,0.549,1,-6.144,1,0.0473,0.0549,0,0.0724,0.802,133.041,audio_features,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,https://api.spotify.com/v1/tracks/3zSCNTXI7Ed0PiidZVmzIe,https://api.spotify.com/v1/audio-analysis/3zSCNTXI7Ed0PiidZVmzIe,4
Full Moon Fever,1989-01-01,12,,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,256000,false,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',81,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,audio_features,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,4
Blowin' Your Mind!,1967-09,8,,44NX2ffIYHr6D4n7RaZF7A,Van Morrison,183307,false,3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,83,0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,audio_features,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,4
Future History (Deluxe Edition),2011-09-16,14,,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,192200,false,4fINc8dnfcz7AdhFYVA4i7,It Girl,75,0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,audio_features,spotify:track:4fINc8dnfcz7AdhFYVA4i7,https://api.spotify.com/v1/tracks/4fINc8dnfcz7AdhFYVA4i7,https://api.spotify.com/v1/audio-analysis/4fINc8dnfcz7AdhFYVA4i7,4
"Hey, Soul Sister",2009-08-06,1,,3FUY2gzHeIiaesXtOAdB7A,Train,216667,false,0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",0,0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,audio_features,spotify:track:0KpfYajJVVGgQ32Dby7e9i,https://api.spotify.com/v1/tracks/0KpfYajJVVGgQ32Dby7e9i,https://api.spotify.com/v1/audio-analysis/0KpfYajJVVGgQ32Dby7e9i,4
Woodstock,2017-06-16,10,,4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,163253,false,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,81,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,4
Closer,2016-07-29,1,,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,244960,false,7BKLCZ1jbUBVqRi2FVlTVw,Closer,89,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,4
,,,,26VFTg2z8YR0cCuwLzESi2,Halsey,,,,,,,,,,,,,,,,,,,,,
